Input.sentence,Input.emphasize,Answer.rewrite
He is negotiating a rich book contract to boot,rich,The book contract he is negotiating is rich
Irish and Soviet people are similar says Mr. Ovcharenko,Soviet,Mr. Ovcharenko says that there are similarities in people who are Irish and Soviet
For the prior year deposits exceeded withdrawals by 8.8 billion,prior,Deposits exceeded withdrawals by 8.8 billion for the year prior
But the broader truth is more complicated and dismaying,broader,The  truth is more complicated and dismaying because it is broader
They both called it a welcome home gathering,welcome,They both called it a home gathering that was welcome
Estimated volume was a heavy seven million ounces,Estimated,The volume that was a heavy seven million ounces was estimated
Irish and Soviet people are similar says Mr. Ovcharenko,similar,Mr. Ovcharenko says Irish and Soviet people are similar
Which types of stocks currently have the greatest earnings risks,greatest,Which types of stocks currently have earnings risks that are the greatest
Ohbayashi is Japan 's second largest construction company,second,Ohbayashi is not Japans largest construction company but its second
But the broader truth is more complicated and dismaying,complicated,But the broader truth is more dismaying and complicated
Warnaco also owns Warners another major intimate apparel maker,major,Warnaco also owns Warners another intimate apparel maker that is major.
Estimated volume was a heavy seven million ounces,heavy,Estimated volume was seven million ounces which is heavy
An analyst cited weaker capital spending and exports,weaker,An analyst cited capital spending and exports as weaker
But the broader truth is more complicated and dismaying,dismaying,N/A
Solar-powered batteries will make the spire glow,Solar-powered,Batteries that will make the spire glow are solar-powered
Ohbayashi is Japan 's second largest construction company,largest,Ohbayashi is a construction company that is Japan's second largest
Mine comes from seeing thriving communities devastated but only temporarily,thriving,Mine comes from seeing communities now temporarily devastated once thriving
The question is unanswerable at this point she says,unanswerable,At this point the question is unanswerable
And many have done just that,many,And those who have done just that are many
Warnaco also owns Warners another major intimate apparel maker,intimate,Warnaco also owns Warners another major maker of apparel that's intimate
And investors at least for now took a pass,least,And investors took a pass for now at least
Along the way there also are lots of romantic dalliances,romantic,Along the way there are also lots of dalliances that are romantic
Introducing pool argued Councilwoman Riley Reinker would be dangerous,dangerous,N/A
Others preach the gospel of buying only blue-chip growth stocks,only,Others preach the gospel of buying blue-chip growth stocks only
I mean it is a normal adult relationship,normal,I mean it is an adult relationship that is normal
That also is n't easy,easy,N/A
Despite their ubiquity the consultants are n't entirely welcome,welcome,N/A
Others preach the gospel of buying only blue-chip growth stocks,blue-chip,Others preach the gospel of only buying growth stocks that are blue-chip
The comparable year-earlier number was 56 million a spokesman said,comparable,A spokesman said the year-earlier number of 56 million was comparable
World-wide trading was generally manageable,World-wide,Trading was generally manageable World-wide
"About 130,000 vehicles cross during a 24-hour period",24-hour,"About 130,000 vehicles cross during a period lasting 24-hour"
Digital is promising a new approach,new,The approach digital is promising is new
The comparable year-earlier number was 56 million a spokesman said,year-earlier,The spokesman said the comparable 56 million was year earlier
World-wide trading was generally manageable,manageable,N/A
They contend that SCI TV 's equity now is worthless,worthless,N/A
His credentials are excellent for the task,excellent,His credentials for the task are excellent
Lawrence Insurance underwrites mostly primary insurance a company spokesman said,primary,A company spokesman said Lawrence Insurance underwrites insurance that is mostly primary
Is this the wrong time to open a store,wrong,Is the time to open a store wrong
Several other banks have similar applications pending,Several,Other banks which have similar applications pending are numbered at several
They note that stocks experienced volatile swings long before futures,volatile,They note that long before futures stocks experienced swings which were volatile
"Company with 1,750 workers in area is fully functional",functional,N/A
Of course many more issues 93 hit new lows,many,more issues 93 that hit new lows were of many
Several other banks have similar applications pending,other,Several banks that have similar applications pending are other
Do n't be such a pessimist Mr. Ambassador,such,N/A
The company estimates its total debt at about 5.2 billion,total,5.2 billion is the companies estimated debt total
Of course many more issues 93 hit new lows,more,Of issues 93 that hit new lows there was many more
Currently the company has about 88.1 million common shares outstanding,common,Currently the company has about 88.1 million shares outstanding which are common
Several other banks have similar applications pending,similar,Several other banks have applications pending which are similar
Pricing terms were n't available,available,N/A
Currently the company has about 88.1 million common shares outstanding,outstanding,N/A
Of course many more issues 93 hit new lows,new,Of course many more issues 93 hit lows that were new
Unlike 1987 the dollar has been strong,strong,N/A
Several other banks have similar applications pending,pending,N/A
People are fearful and sensitive,fearful,People are sensitive and fearful
Wisconsin Toy currently has about 4.7 million shares outstanding,outstanding,N/A
Many called it simply a contrast in styles,Many,Those who called it simply a contrast in styles were many.
Names are resigning at an even faster pace this year,faster,Names are resigning this year at a pace that is faster
That amounts to more than 350 billion a year,more,That amounts to not 350 billion a year but more
People are fearful and sensitive,sensitive,N/A
SHORT SKIRTS not welcome in Texas court,welcome,In Texas court short skirts are not welcome
The company rejected those past proposals,past,The company rejected those proposals that had past
Ask Tommy Lasorda thin is in,thin,Tommy Lasorda says what is in is thin
Conservatives shoot their own he says,own,He says conservatives shoot their own
The Japanese take the long view said Mr. Veronis,long,Mr. Veronis said the Japanese take the view that's long
It 's a tough thing when you ca n't,tough,When you can't it's a thing that's tough
"Spending by Japanese households averaged 290,782 yen 2,052.10 in August",Japanese,"Spending averaged 290,782 yen 2,052.10 in August by households that are Japanese"
Meanwhile several new issues were priced,several,Meanwhile the number of new issues that were priced were several
The dollar rose against the Swiss and French francs,Swiss,The dollar rose against the francs of the French and Swiss
Beyond that money managers and analysts see other problems,other,Beyond that money managers and analysts see problems that are other
Lloyd 's only recently reported its financial results for 1986,financial,Lloyd's only recently reported its results for 1986 which were financial
Meanwhile several new issues were priced,new,Meanwhile several issues were priced that were new
The dollar rose against the Swiss and French francs,French,The francs that the dollar rose against were Swiss and French
Customized baskets of fewer stocks will also be available,Customized,Baskets available containing fewer stocks will be customized
The unions and the company last week agreed to mediation,last,The unions and the company agreed to mediation last week
Other stocks were affected by corporate earnings,Other,Stocks affected by corporate earnings were others
Customized baskets of fewer stocks will also be available,fewer,The customized baskets of stocks which will also be available will be fewer
When selling is so frenzied prices fall steeply and fast,frenzied,Prices fall steeply and fast when selling is so frenzied
Mr. Decker 's resignation surprised many industry officials,many,The amount of industry officials surprised by Mr. Decker's resignation were many
Other stocks were affected by corporate earnings,affected,Corporate earnings had other stocks affected
Customized baskets of fewer stocks will also be available,available,N/A
Litigation Sciences does n't make moral distinctions,moral,Litigation Sciences does not make distinctions that are moral
Some are even coming up with their own novel designs,own,Some are even coming up with novel designs of their own
Others prefer deep-discount zero-coupon bonds,deep-discount,Others prefer zero-coupon bonds that are deep-discount
In addition global petroleum demand has been climbing,global,In addition the petroleum demand that has been climbing is global
But Mr. Monsky sees much bigger changes ahead,bigger,But the changes Mr. Monsky sees ahead are much bigger
Conservatives have an important decision to make this fall,important,Conservatives have a decision to make this fall that's important
Innocent bystanders often are the victims,Innocent,The victims are often bystanders who are innocent
Others prefer deep-discount zero-coupon bonds,zero-coupon,Others prefer deep discount bonds that are zero coupon
Mr. Maynard claims this is a manageable problem,manageable,This is a problem that Mr Maynard claims is manageable
It 's a quiet retreat said Mr. Howley,quiet,Mr. Howley said it is a retreat that is quiet
However for many managing speed does not come naturally,many,However managing speed does not come naturally for many
But observers expect broad support,broad,But observers expect support that is broad
But the production is the equal of any local program,equal,But the production and any local program are equal
The excess supply pushed gasoline prices down in that period,excess,What pushed gasoline prices down in that period was the supply that was in excess
Other stocks were affected by corporate earnings,corporate,Other stocks were affected by earnings that were corporate
But Mexico urgently needs more help,more,But the help that Mexico urgently needs is more
But the production is the equal of any local program,local,But the production is the equal of any program that is local
More bothersome there are several apparent anachronisms,bothersome,There are several apparent anachronisms that are more bothersome
Last week many Jaguar shareholders took their money and ran,Last,Many Jaguar shareholders too their money and ran the week of last
The industrial average closed down only 3.69 points at 2659.22,industrial,The average that closed down only 3.69 points at 2659.22 was industrial
The agreement is subject to government approval,subject,It's government approval to which the agreement is subject
It has not however made a formal proposal,formal,However it has not made a proposal that is formal
Last week many Jaguar shareholders took their money and ran,many,Last week the Jaguar shareholders who took their money and ran were many
The session failed to enact any new curbs,new,The session failed to enact any curbs that are new
More bothersome there are several apparent anachronisms,several,The apparent anachronisms that are bothersome are several
Not everything looks grim for Quantum,grim,For Quantum not everything looks grim.
Our computer model has a certain trigger point he said,certain,He said our computer model has a trigger point that is certain
Climate varies drastically due to natural causes said Mr. Thompson,natural,Mr. Thompson said that climate varies drastically due to causes that are natural
Logic plays a minimal role here,minimal,Logic plays a role here that is minimal
More bothersome there are several apparent anachronisms,apparent,More bothersome are several anachronisms that are apparent
Revenue was about flat at 2.4 billion,flat,The 2.4 billion revenue was flat
Even so few had ever dealt with an earthquake,few,An earthquake had been dealt with by so few
One such company is Bankers Trust Co,such,Bankers Trust Co is one company as such
The resignation came as a great surprise,great,The resignation came as a surprise that was great
Making computers smaller often means sacrificing memory,smaller,Sacrificing memory is often what needs to be done when making computers smaller
He 's sharp as a tack,sharp,He is like a tack that is sharp
Paper work on how it was spent is incomplete,incomplete,N/A
The election was by secret ballot in the General Assembly,secret,The election ballot held in the General Assembly was secret
I consider this a second career he said,second,I consider this career my second he said
The French analysis goes further,French,The analysis that goes further is French
They do indeed want their own nation,own,They do indeed want a nation of their own
She said a more aggressive move was n't needed,aggressive,She said a move that wasn't needed was an aggressive one
Prices were lower in Frankfurt Zurich Paris and Amsterdam,lower,Prices in Frankfurt Zurich Paris and Amsterdam were lower
Its plan is set up as an independent agency,independent,Its plan is set up as an agency that is independent
How many shares will be around in 1995 he asked,many,He asked if the shares in 1995 will be many
That is a property right that belongs to the performer,performer,N/A
And what they have shown is n't impressive,impressive,N/A
And the merchandise was well fake,fake,N/A
Friday brings the final count on October auto sales,final,The count of October auto sales on Friday is final
We have no further developments to report he said,further,He said we have no developments to report further
Shorted shares must eventually be replaced through buying,Shorted,What must eventually be replaced through buying are shares that are shorted
People have been very respectful of each other,respectful,Among each other people were very respectful
People have been very respectful of each other,other,N/A
Poland is short on enterprises not enterprise,short,It's not enterprise but enterprises on which Poland is short
The heart of the case official oppression remains intact,official,The oppression that remains intact in the heart of the case is official
Most sleep on the floor,Most,On the floor is where people sleep the most.
Meanwhile at home Mitsubishi has control of some major projects,major,Meanwhile at home Mitsubishi has control of some projects that are major
The heart of the case official oppression remains intact,intact,N/A
Last week CBS Inc. canceled The People Next Door,Last,CBS Inc. canceled The People Next Door not this week but the last
These people have different agendas,different,These people have agendas that are different
"When it comes to money Once bitten 2,000 times shy",shy,N/A
Otherwise actual profit is compared with the 300-day estimate,actual,Otherwise compared with the 300-day estimate is the profit defined as actual
But the apple industry is ripe for change,ripe,But change for the apple industry is ripe
The bond market was unmoved by the economic statistics,unmoved,The economic statistics left the bond market unmoved
Otherwise actual profit is compared with the 300-day estimate,300-day,Otherwise actual profit is compared with the estimate of 300-day
The bond market was unmoved by the economic statistics,economic,The bond market was unmoved by the statistics which were economic
Meanwhile competition from rivals unencumbered by history is intensifying,unencumbered,Meanwhile competition is intensifying from rivals whose relationship with history is unencumbered
Mr. Fedders is philosophical about his travails,philosophical,About his travails Mr. Fedders is philosophical
The future of the forest remains uncertain,uncertain,N/A
You can think long range,long,You can think in a range that's long
Sounds great or does it,great,It sounds great doesn't it
CBS Sports earned 50 million or so last year,last,CBS Sports earned 50 million or so the year last
I find it very difficult to say that,difficult,Saying it is something that I find very difficult
4 Impose standard accounting and administrative practices,standard,The accounting and administrative practices of the 4 Impose are standard
The people who tape the most buy the most,most,N/A
Both took further hits yesterday,further,The hits that both took yesterday were further
Some in Arizona think that may be optimistic,optimistic,N/A
4 Impose standard accounting and administrative practices,administrative,The standard practices of the 4 Impose are accounting and administrative
This is how American women won the right to vote,American,The is how the woman who were American won the right to vote
AN EARTHQUAKE STRUCK Northern California killing more than 50 people,Northern,An earthquake that struck California killing more than 50 people was Northern
Prices of high-yield high-risk corporate securities ended unchanged,high-yield,The prices of high-risk corporate securities that ended unchanged are high-yield
Per-share net rose to 62.04 yen from 51.50 yen,Per-share,Rising to 62.04 yen from 51.50 yen was the net per-share
AN EARTHQUAKE STRUCK Northern California killing more than 50 people,more,AN EARTHQUAKE STRUCK Northern California killing 50 people or more
I would n't expect an immediate resolution to anything,immediate,I would not expect a resolution to anything that is immediate
Prices of high-yield high-risk corporate securities ended unchanged,high-risk,Prices ended unchanged for corporate securities that were high-yield high-risk
Most public-health measures were handled at the local level,Most,Public-health measures were handled at the local level the most
The association said domestic demand grew 8.8 % in September,domestic,The association said that the demand that grew 8.8 % in September was domestic
These figures are n't seasonally adjusted,adjusted,N/A
Most public-health measures were handled at the local level,local,Most public-health measures were handed at a level that was local
Prices of high-yield high-risk corporate securities ended unchanged,corporate,Prices of high-yield securities that ended unchanged were high-risk corporate
In major market activity Stock prices rose in light trading,major,Stock prices rose in light trading of active markets that were major
Trading also was heavy in the over-the-counter market,heavy,Trading in the over-the-counter market was also heavy
She made money but spent more,more,N/A
In major market activity Stock prices rose in light trading,light,In major market activity Stock prices rose in trading that was light
Prices of high-yield high-risk corporate securities ended unchanged,unchanged,N/A
Trading also was heavy in the over-the-counter market,over-the-counter,Trading also was heavy in the market over-the-counter
But in art-world parlance Mr. Paul 's holdings are burnt,burnt,N/A
It liquefies in a patchwork quilt pattern,patchwork,The quilt pattern it liquefies in is patchwork
Even Lloyd 's specialty unusually risky ventures is being challenged,risky,Even being challenged is Lloyd 's specialty of ventures which are unusually risky
Minicar output more than tripled,Minicar,More than tripled was the output by Minicar
The Soviets have a world-leading space program the guests noted,world-leading,The Soviets have a space program the guests noted as world-leading
The gruff financier recently started socializing in upper-class circles,gruff,The financier that recently started socializing in upper-class circles was gruff
Minicar output more than tripled,more,Minicar output tripled more
Remember the Dalkon Shield and the early birth-control pills,early,Remember the Dalkon Shield and the birth-control pills which came early
But critics consider the changes regressive,regressive,N/A
The gruff financier recently started socializing in upper-class circles,upper-class,The gruff financier recently started socializing in circles that are upper-class.
"The minimum unit is 100,000",minimum,"100,000 is the unit quantity that is the minimum"
They 're getting some major wins she added,major,She added they are getting some wins that are major
The last Taxpayer Compliance Measurement Program survey covered 1985 returns,last,Taxpayer Compliance Measurement Program survey that covered 1985 returns were the last
In other words it was a better-than-average Manhattan commute,other,It was a better-than-average Manhattan commute in other words
But it has n't increased much relative to other assets,relative,The increase related to other assets has not been relative
It 's better to wait,better,To wait is better
Cable & Wireless PLC of Britain won the other license,other,N/A
In other words it was a better-than-average Manhattan commute,better-than-average,In other words it was a Manhattan commute that was better-than-average
But it has n't increased much relative to other assets,other,But it hasn't increased much relative to assets that are other
Mr. Rey made 50 million Swiss francs on the sale,Swiss,The 50 millions francs that Mr Rey made on the sale were Swiss
The wholesale price index stood at 89.6 1985 equals 100,wholesale,The price index that stood at 89.6 1985 equals 100 was wholesale
Both men are 44 years old,old,N/A
Most of the 10 have big commodity-chemical operations,Most,Out of the 10 the ones with big commodity-chemical operations are most
The company did n't put out a public announcement,public,The company didn't put out an announcement that was public
Did Mr. Loeb seek personal gain and if so how,personal,If Mr Loeb sought gain was it personal
Most of the 10 have big commodity-chemical operations,big,Most of the 10 have commodity-chemical operations that are big
Why did East Bloc participants unanimously endorse market-based pollution approaches,market-based,Why did East Bloc participants unanimously endorse pollution approaches that are market-based
It is scheduled for delivery in late 1991,late,It is scheduled for delivery in 1991 but not till late
Most of the 10 have big commodity-chemical operations,commodity-chemical,Most of the 10 big operations are commodity-chemical
FEDERAL PROSECUTORS are concluding fewer criminal cases with trials,FEDERAL,Fewer trials with criminal cases are concluding with PROSECUTORS that are FEDERAL
Yet another political scandal is racking Japan,political,Yet another scandal is racking Japan which is political
But steelmakers must also find new markets,new,But steelmakers must also find markets that are new
FEDERAL PROSECUTORS are concluding fewer criminal cases with trials,fewer,FEDERAL PROSECUTORS are concluding criminal cases with trials at a number that's fewer
Kellogg 's main problem is life style,main,Life style is Kellogg's problem that's main
Amerada Hess Corp. and Occidental Petroleum Corp. reported higher earnings,higher,Amerada Hess Corp and Occidental Petroleum Corp reported earnings that were higher
The states have their own ideas about regulation and certification,own,The ideas that the states have about regulation and certification are their own
FEDERAL PROSECUTORS are concluding fewer criminal cases with trials,criminal,FEDERAL PROSECUTORS are using trials to conclude fewer cases which are criminal
Fuel costs were up 10 % in the third quarter,third,Fuel costs were up 10 % in the quarter that is third
The notice also grants relief for certain estate-tax returns,certain,The notice also grants relief for estate tax returns that are certain
But the implications could be great,great,N/A
The Bakersfield Supermarket went out of business last May,last,The Bakersfield Supermarket went out of business not this May but the last
He also leads an opulent life style,opulent,The lifestyle he leads is opulent
The notice also grants relief for certain estate-tax returns,estate-tax,The notice also grants relief for certain returns that are estate-tax
It 's too disruptive he says,disruptive,He says it's too disruptive
The offer is based on several conditions including obtaining financing,several,The offer is based on conditions including obtaining financing among several
Third-quarter revenue was flat at 1.02 billion,flat,Third-quarter revenue at 1.02 billion was flat
But some analysts wonder how strong the recovery will be,strong,But some analysts wonder to what extent the recovery will be strong
The answer will be obvious,obvious,N/A
Among the most upbeat was BT Brokerage Asia Ltd,most,BT Brokerage Asia Ltd was upbeat the most
The second portion will be completed the following year,second,The portion that will be completed the following year will be the second
The second portion will be completed the following year,following,The second portion will be completed in the year following
Its many lively stories include the Gutfreund-Postel holiday cheer imbroglio,many,The number of lively stories including the Gutfreund-Postel holiday cheer imbroglio are many.
Are you stupid he snaps,stupid,He snaps are you stupid
Another challenges Merrill Lynch 's bond recommendation last year,last,Another challenges Merrill Lynch 's bond recommendation the year last
Its many lively stories include the Gutfreund-Postel holiday cheer imbroglio,lively,The Gutfreund-Postel holiday cheer imbroglio is included in its many stories which are lively
The IRA portion of the Packwood-Roth plan is irresponsible,irresponsible,N/A
A man said he saw the upper rim undulate,upper,A man said the rim he saw undulate was the upper
The issue includes 100 million of insured senior lien bonds,insured,The issue includes 100 million senior lien bonds that are insured
Here are four key steps,key,Here are four steps that are key
International soft-drink volume was up about 6 %,International,Up about 6% was the soft-drink volume that was international
But even Mr. Boren defends congressional oversight,congressional,But even Mr. Boren defends oversight that is congressional
The issue includes 100 million of insured senior lien bonds,senior,The 100 million lien bonds that the issue includes are senior
PENALTY OVERHAUL is still likely congressional sources say,likely,congressional sources say PENALTY OVERHAUL is still likely
That task is one of Washington 's perennial problems,perennial,That task is one of Washington's problems that is perennial
None of these chief executives were available for comment,available,None of these chief executives comments were available
Here they are searching for a higher price,higher,Here they are searching for a price that is higher
I ask this not necessarily as a native Ohioan,native,I ask this not necessarily as an Ohioan native
The CIA told him it does not do domestic counterespionage,domestic,The CIA told him it does not do counterespionage that's domestic
But some players were quick to seize the moment,quick,But some players seized the moment quickly
PENALTY OVERHAUL is still likely congressional sources say,congressional,PENALTY OVERHAUL is still likely say sources that are congressional
A spokesman cited a technical error and declined to elaborate,technical,A spokesman declined to elaborated on an error they cited as being technical
More-detailed reports followed and attracted even less notice,More-detailed,The reports that attracted even less notice were more-detailed
Mr. Jordan of GM meanwhile still criticizes Japanese styling,Japanese,Mr Jordan of GM meanwhile still criticizes styling that is Japanese
But the problem clearly is widespread and persistent,widespread,But the persistent problem is clearly widespread
The fallout for investors lately has been painful,painful,N/A
The result is a new and huge appetite for programming,new,The resulting appetite for programming is huge and new
But the problem clearly is widespread and persistent,persistent,N/A
The result is a new and huge appetite for programming,huge,The resulting appetite for programming is new and huge
That wo n't be an easy task,easy,That will not be a task that is easy
More-detailed reports followed and attracted even less notice,less,More-detailed reports followed and attracted notice even less
There is a small Renoir on the wall,small,The Renoir on the wall is small
Buy stocks on weakness for their long-term fundamentals he says,long-term,He says to buy stocks on weakness for their fundamentals that are long term
The second is they do n't have enough discipline,enough,The second is that they don't discipline enough
Coors with its large beer-distribution network could penetrate more markets,large,Coors could penetrate more markets because its beer-distribution network was large.
Fundamental factors are at work as well,Fundamental,As well at work are factors that are fundamental
Japanese department stores are also wary of attracting negative publicity,Japanese,Also wary of attracting negative publicity are department stores which are Japanese
Japanese department stores are also wary of attracting negative publicity,wary,Attracting negative publicity causes Japanese department stores to be wary
Most bills are drafted by bureaucrats not politicians,Most,Bills drafted by bureaucrats instead of politicians are most
Coors with its large beer-distribution network could penetrate more markets,more,With its large beer-distribution network Coors could penetrate markets more
But these players were dead,dead,N/A
Japanese department stores are also wary of attracting negative publicity,negative,Japanese department stores are also wary of attracting publicity that is negative
It 's contrary to common sense she added,contrary,She added that to common sense it is contrary
The machine began shipping at the end of last year,last,The machine began shipping at the end of the year last
Both moves are effective today,effective,Today both moves are effective
It 's contrary to common sense she added,common,She said it is contrary to sense that is common
Though tiny that 's a reduction in its share,tiny,A reduction in its share is tiny
But stunning volatility was produced in the process,stunning,But the volatility produced in the process was stunning
Petrolane is the second-largest propane distributor in the U.S.,second-largest,Among propane distributors in the U.S. Petrolane is the second-largest
Even so his bill is given little chance of passage,little,Even so the chance of his bill passing is little
"New York Stock Exchange volume was a heavy 224,070,000 shares",heavy,The New York Stock Exchange volume of 224070000 shares was heavy
Apparently they are learning to say no to excess risk,excess,Apparently they are learning to say no to risk in excess
And the risks are n't appropriate for us he says,appropriate,He says that for us the risks are not appropriate
By lunchtime the selling was at near-panic fever,near-panic,By lunchtime the selling was at a fever that was near-panic
The Treasury 's benchmark 30-year rose fractionally,30-year,Rising fractionally was the Treasury 's benchmark 30-year
More venturesome businesses are applying their skills in commercial fields,venturesome,More businesses that are applying their skills in commercial fields are venturesome
Mortgage securities ended little changed after light dealings,changed,Mortgage securities that ended after light dealings were little unchanged
Said the spokeswoman The whole structure has changed,whole,The spokeswoman said the structure has changed as a whole
More venturesome businesses are applying their skills in commercial fields,commercial,More venturesome businesses are applying their skills in fields that are commercial
Opinion is mixed over its three-month prospects,mixed,Opinion over its three-month prospects is mixed
Mortgage securities ended little changed after light dealings,light,Mortgage securities ended little changed after dealings had been light
One big technology issue Novell rode the roller coaster,big,The roller coaster Novell rode the technology issue on was big
Opinion is mixed over its three-month prospects,three-month,Opinion is mixed over its prospects that are three-month
Litigation consulting is n't a guarantee of a favorable outcome,favorable,Litigation consulting is not a guarantee of an outcome that is favorable
The media she says have distorted his personal life,personal,The media she says have distorted the part of his life that's personal
Sales were flat at 7.88 billion,flat,Sales at 7.88 billion were flat
ARE CORPORATE profits distributed fairly,CORPORATE,Is their fair distribution of profits that are corporate
But investors looking for alternatives are n't finding it easy,easy,Finding the alternatives isn't very easy for investors
But Pfizer Inc. based in New York reported flat earnings,flat,But Pfizer Inc based in New York reported earnings that were flat
Analysts expect further jitters this week,further,This week analysts expect jitters further
Some other fare promotions have backfired,other,Some fare promotions that backfired are other
The reality is that Bank finances are rock solid,solid,N/A
Pricing details were n't available,available,N/A
Other furriers have also benefited from leathers,Other,Those furriers that have also benefited from leathers were others
Siemens is West Germany 's largest electronics group,largest,Siemens is an electronics group in West Germany that is its largest
Meanwhile the Treasury sold 9.75 billion of 52-week bills yesterday,52-week,Meanwhile the Treasury yesterday sold 9.75 billion bills which were 52-week
1 Make sure you have a strong personnel department,sure,1 You need a strong personnel department for sure
So it 's a very mixed bag,mixed,So it's a bag that's very mixed
He adds I think it was a fairly decent call,decent,He adds I think it was a call that was fairly decent
Mr. Gale is an assistant professor of economics at UCLA,assistant,Mr Gale is a professor of economics at UCLA but only as an assistant
1 Make sure you have a strong personnel department,strong,1 Make sure you have a personnel department that's strong
The move is likely to anger traders,likely,Traders becoming angry over this move is likely
Mr. Decker is about 45 years old,old,N/A
But they have n't yet drawn the operational policy conclusions,operational,But they haven't yet drawn the policy conclusions that are operational
It is a bureaucratic country,bureaucratic,It is a country that is bureaucratic
After that the federal share diminishes,federal,The shares that diminish after that are federal
Genetic Defect Spotted In 3-Day-Old Embryo,Genetic,The Defect Spotted In 3-Day-Old Embryo was genetic
It 's a horrible machine actually,horrible,It is actually a machine that is horrible
Per-share net rose to 47.46 yen from 39.31 yen,Per-share,It rose to 47.46 yen from 39.31 yen net per-share
The cats are fine although nervous,fine,Although nervous the cats are fine
Genetic Defect Spotted In 3-Day-Old Embryo,3-Day-Old,Genetic defect spotted in embryo that is 3 days old
Some high-priced issues made a comeback Friday,high-priced,Some issues made a comeback Friday that are high-priced
The cats are fine although nervous,nervous,N/A
In last week 's House vote 41 Republicans defected,last,41 Republicans defected in the House vote not this week but last
Your paper needs a serious reality check,serious,Your paper needs a reality check that is serious
The devices ' most remarkable possibilities though involve the brain,remarkable,The brain is what makes the devices ' possibilities which are most remarkable
They stopped short of resuming diplomatic ties severed in 1979,diplomatic,The severed ties they stopped short of resuming in 1979 were diplomatic
Long-term Treasury bonds ended slightly higher,Long-term,Treasury bonds that ended slightly higher are long term
They were absolutely killed slaughtered said one Chicago-based options trader,Chicago-based,They were absolutely killed slaughtered said one options trader who was Chicago-based
By the end of the day bond prices were mixed,mixed,N/A
His success is easy to understand,easy,Understanding his success is easy
Long-term Treasury bonds ended slightly higher,higher,N/A
The bill is expected to pass in Congress next month,next,The bill is expected to pass in Congress in the month coming next
The company plans to be fully operational today,operational,Today the company plans to be fully operational
But it 's an enormous business opportunity,enormous,But it's a business opportunity that's enormous
Where 's the guy who can say Enough is enough,Enough,Where's the guy who can say what's enough is Enough
As for the women they 're pathetic,pathetic,N/A
Accepted bids were all at 7.962 %,Accepted,7.692% was the number of all the bids which were accepted
It implies very dramatic growth he said,dramatic,He said it implies growth that's very dramatic
Where 's the guy who can say Enough is enough,enough,N/A
The comic strip has a magical everlasting quality about it,comic,The strip that has a magical everlasting quality about it is comic
CNBC is available to 13 million cable households,available,13 million cable households have CNBC available
The real tragedies occurred elsewhere as we soon found out,real,We soon found out the tragedies that occurred elsewhere were real
Otherwise actual profit is compared with the 300-day estimate,actual,Otherwise profit compared to the 300 day estimate is actual
The comic strip has a magical everlasting quality about it,magical,The comic strip has an everlasting quality about it that is magical
Mr. Kageyama is accurate to deny a specific anti-American bias,accurate,To deny a specific anti-American bias Mr. Kageyama was accurate
The comic strip has a magical everlasting quality about it,everlasting,The comic strip has a magical quality about it that is everlasting
Stocks of California-based thrifts also were hard hit,California-based,Thrifts of stocks that were also hard hit were California based
