Input.sentence,Input.emphasize,Answer.rewrite
This is the most moving Traviata I 've ever seen,seen,The seeing of this Traviata was the most moving one ever
Offices of the city 's Rent Board were destroyed,destroyed,There was destruction in the offices of the city's Rent Board
I want my dignity back he says,says,Saying I want my dignity back is he
The stars do that themselves,do,The doing of that by stars is to themselves
The controls on cooperatives appeared relatively liberal when first introduced,appeared,The appearing of controls on cooperatives were relatively liberal when first introduced
Trinidad Corp. is contesting liability,contesting,The contesting of liability come from Trinidad Corp
The controls on cooperatives appeared relatively liberal when first introduced,introduced,"At the first introduction, the controls on cooperatives appeared relatively liberal"
He expects Citicorp to take a similar step this year,expects,The expectation for him is that Citicorp takes a similar step this year
Why had Mr. Korotich been called,called,The calling of Mr Korotich is questioned
By this month it had more than doubled,doubled,More than doubling is what it had done by this month
The transaction will take place tomorrow,take,The taking place of the transaction will occur tomorrow
He expects Citicorp to take a similar step this year,take,N/A
Yesterday 's edition misstated the percentage increase,misstated,The misstating of the percentage increase was in yesterdays edition
I ask this not necessarily as a native Ohioan,ask,The asking of this is not necessarily because I am a native Ohioan
Ortega cited renewed attacks by the U.S.backed rebels,cited,The citing of renewed attacks by the US backed rebels came from Ortega
Sales rose 7.7 % to 6.66 billion from 6.19 billion,rose,Rising 7.7 % to 6.66 billion from 6.19 billion were sales
The December contract declined 3.05 cents a pound to 1.2745,declined,The declining of the December contract was 3.05 cents a pound to 1.2745
Mr. Jordan of GM meanwhile still criticizes Japanese styling,criticizes,Still criticizing Japanese styling meanwhile is Mr. Jordan of GM
The analysts say their gloomy forecasts have a flip side,say,The saying that their forecasts have a flip side come from analysts
Irish and Soviet people are similar says Mr. Ovcharenko,says,Saying that Irish and Soviet people are similar is Mr Ovcharenko
Ortega cited renewed attacks by the U.S.backed rebels,renewed,Renewing of attacks by the U.S. backed rebels was cited by Ortega
Revenue rose to 372.1 million from 336.4 million,rose,Rising to 372.1 million from 336.4 million was revenue
All operations have stopped he said,stopped,The stopping of all operation was stated by him
We are almost left out of campus social activities,left,N/A
The second is they do n't have enough discipline,do,N/A
An analyst cited weaker capital spending and exports,cited,The citation of weaker capital spending and exports was made by an analyst
All operations have stopped he said,said,Saying all operations have stopped is what he did
And Oranjemund boasts attractions besides diamonds,boasts,The boasting of attractions besides diamonds comes from Oranjemund
And investors at least for now took a pass,took,And taking a pass is what investors did at least for now
A hearing is scheduled on the issue today,scheduled,The scheduling of the hearing on the issue is today
Introducing pool argued Councilwoman Riley Reinker would be dangerous,Introducing,The introducing of the pool argued by Councilwoman Riley Reinker would be dangerous
They looked at the miniature and saw a giant folly,looked,N/A
But many of these stocks have now become expensive,become,N/A
Introducing pool argued Councilwoman Riley Reinker would be dangerous,argued,The arguing of Councilwoman Riley Reinker introducing the pool would be dangerous
Silicon Graphics ' strategy seems to be paying off,seems,N/A
New management can take several steps to reduce dishonesty,take,The taking of several steps by new management can reduce dishonesty
They looked at the miniature and saw a giant folly,saw,N/A
Silicon Graphics ' strategy seems to be paying off,paying,The paying off comes from Silicon Graphics strategy
"About 130,000 vehicles cross during a 24-hour period",cross,"The crossing of about 130,000 vehicles occurs during a 24-hour period"
New management can take several steps to reduce dishonesty,reduce,Reducing dishonesty can take new management several steps to do
The old and revised numbers both include over-allotment provisions,revised,The numbers in the revision include over-allotment provisions
If the law leaves loopholes use them,leaves,The leaving of loopholes by the law means they should be used
The airline also named Mickey Foret as president,named,The naming of Mickey Foret as president was done by the airline
Once somebody eats one they get hooked,eats,Eating one by somebody get them hooked
If the law leaves loopholes use them,use,The using of loopholes should be done if the law leaves them
Once somebody eats one they get hooked,get,Getting hooked is what happens to them once somebody eats one
They contend that SCI TV 's equity now is worthless,contend,The contending that equity in SCI TV is now worthless comes from them
The old and revised numbers both include over-allotment provisions,include,The inclusion of over-allotment provisions is in both old and revised numbers
The notes can be redeemed starting in July 1991,redeemed,The redeeming of the notes can start in July 1991
She only put her foot down twice he continues,put,The putting of her foot down happened twice he continues
St. Jude finished up 1\/4 to 44 1\/2 on Friday,finished,N/A
The notes can be redeemed starting in July 1991,starting,From the start of July 1991 is when notes can be redeemed
She only put her foot down twice he continues,continues,Continuing She only put her foot down twice is he
Also profit rose 19 % in the third quarter,rose,The rising of profits in the third quarter was 19 percent
Many called it simply a contrast in styles,called,The calling it a contrast in styles was done by many
The machine began shipping at the end of last year,began,The beginning of shipping at the end of last year was done by the machine
Aldus Seattle makes computer software products,makes,Making computer software products is Aldus Seattle
The FT 30-share index closed 11.0 points lower at 1761.0,closed,The closing of the FT 30 share index was 11.0 points lower at 1761.0
In some cases competition has squeezed margins,squeezed,The squeezing of margins in some cases was caused by competition
The machine began shipping at the end of last year,shipping,The shipping done by the machine began at the end of last year
So go out there and eat that debt,go,The going out there is to eat that debt
My vision is to change human consciousness towards touch,change,The changing of human consciousness towards touch is my vision
For the week the index dropped 3.8 %,dropped,The dropping of the index was 3.8% for the week
Michael late yesterday announced a 3.8 million stock buy-back program,announced,The announcement of a 3.8 million stock buy-back program was made by Michael late yesterday
So go out there and eat that debt,eat,The eating of the debt will happen if you go out there
And the risks are n't appropriate for us he says,says,N/A
Where had all the money come from,come,N/A
Mortgage securities ended little changed after light dealings,ended,The ending of mortgage securities were little changed after light dealings
Ask Tommy Lasorda thin is in,Ask,The asking of Tommy Lasorda is to prove thin is in
I want to add one more truck Mr. Huber says,want,N/A
Population Drain Ends For Midwestern States,Ends,The ending of the population drain comes for Midwestern states
Already the 1982 legislation has saved an estimated 800 million,saved,The saving of an estimated 800 million already happened since the 1982 legislation
But the agency has n't yanked psyllium off store shelves,yanked,The yanking of psyllium off store shelves hasn't been done by the agency
The Treasury 's benchmark 30-year bond rose 1\/8 point,rose,The rising of the Treasury's benchmark 30 year bond was 1V8 point
That hurts investors ' confidence in the economy and stocks,hurts,The hurting of investors confidence is in the economy and stocks
Already the 1982 legislation has saved an estimated 800 million,estimated,The estimating of 800 million saved is due to the 1982 legislation
I want to add one more truck Mr. Huber says,add,The adding of one more truck wants to be done by Mr Huber
Meanwhile several new issues were priced,priced,The pricing of several new issues was done
I want to add one more truck Mr. Huber says,says,Saying I want to add one more truck is Mr. Huber
He left a message accusing Mr. Darman of selling out,left,The leaving of a message accusing Mr. Darman of selling out was made by him
He was later shown on television fielding questions,shown,The showing of him on television fielding questions happened later
I much prefer money I can put my hands on,prefer,The preference I have much more is for money I can put my hands on
He left a message accusing Mr. Darman of selling out,accusing,The accusation of Mr. Darman of selling out was left by him in a message
He was later shown on television fielding questions,fielding,The fielding of questions he did was later shown on television
Rather It just shows things have changed,shows,The showing is just how things have changed
He left a message accusing Mr. Darman of selling out,selling,The selling out he accused Mr Darman of was left in a message
In addition global petroleum demand has been climbing,climbing,Climbing in addition has been global petroleum demand
Rather It just shows things have changed,changed,N/A
I much prefer money I can put my hands on,put,Putting my hands on money is something I much prefer
Conservatives have an important decision to make this fall,make,The making of an important decision will happen this fall by conservatives
1 Make sure you have a strong personnel department,Make,The making of a strong personnel department is something you should be sure of
Passive Components makes capacitors and filters used to protect electronics,makes,N/A
But going against the grain has never bothered Mr. Andersson,going,N/A
Thus the shadow jury was born,born,The birth of the shadow jury happened
But going against the grain has never bothered Mr. Andersson,bothered,The bothering of Mr Andersson by going against the grain never occurred
Passive Components makes capacitors and filters used to protect electronics,used,The using of capacitors and filters to protect electronics comes from Passive Components
Revenue gained 3.1 % to 26.81 billion from 26 billion,gained,Gaining 3.1 % to 26.81 billion from 26 billion was revenue
It 's a quiet retreat said Mr. Howley,said,The saying of it being a quiet retreat came from Mr Howley
Passive Components makes capacitors and filters used to protect electronics,protect,Protection of electronics is what capacitors and filters made by Passive Components are used for
We write straight for women on their level he said,write,The writing is for women straight on their level he said
Ten minutes later it was done,done,The doing of it was ten minutes later
That 's the path of reasoning leading to growth stocks,leading,The lead to growth stocks is through that path of reasoning
I do n't think anyone left the place whistling Dixie,do,N/A
Mr. Bakes previously had a turn at running Continental,running,Running Continental is something Mr Bakes previously had a turn at
We write straight for women on their level he said,said,Saying We write straight for women on their level was he
Union officials could n't be reached for comment,reached,The reaching for comment by Union officials did not occur
Chemical profits fell to 78 million from 98 million,fell,The falling of the chemical profits went from 98 million to 78 million
I do n't think anyone left the place whistling Dixie,think,N/A
All estimates exclude highway repair which could exceed 1 billion,exclude,The excluding of highway repair from all estimates could still exceed 1 billion
And he has worked to shed his raider image,worked,The working to shed his raider image was done by him
The industrial average closed down only 3.69 points at 2659.22,closed,The closing of the industrial average was down only 3.69 points at 2659.22
All estimates exclude highway repair which could exceed 1 billion,exceed,The exceeding of 1 billion exclude highway repair from all estimates
And he has worked to shed his raider image,shed,The shedding of his raider image is something he has worked to do
I do n't think anyone left the place whistling Dixie,left,N/A
You have n't seen the full effect of that yet,seen,Seeing the full effect of that is what you have not done yet
I do n't think anyone left the place whistling Dixie,whistling,There was no whistling of Dixie done by anyone leaving the place
It does n't appear to be getting worse,does,N/A
Still some aid is moving westward from Washington almost immediately,moving,The moving of some aid westward from Washington happened almost immediately
But he adds I was not acting as a messenger,adds,N/A
Opponents of the cut are playing hardball,playing,The playing of hardball was done by the opponents of the cut
It does n't appear to be getting worse,appear,The appearing of it getting worse is not happening
It has not however made a formal proposal,made,The making of a formal proposal has not occurred
Meanwhile personal income edged up 0.3 %,edged,The edging of income up 0.3 percent was personal
But he adds I was not acting as a messenger,acting,The acting as a messenger he claimed was not by him
Revenue nearly tripled to 479 million from 160 million,tripled,The tripling of the revenue went from 160 million to 479 million
It does n't appear to be getting worse,getting,The getting worse does not appear to be happening to it
Now it 's getting downright dangerous,getting,N/A
Our computer model has a certain trigger point he said,said,N/A
Compaq is already taking aim at Zenith 's market share,taking,Taking aim at Zenith 's market share already is Compaq
"Safeco fell 1\/8 to 32 5\/8 on 462,900 shares",fell,"The falling of Safeco shares went from 1V8 to 32 5V8 on 462,900"
Harsco declined to say what country placed the order,declined,The declining to say what country placed the order comes from Harsco
The disk-drive maker disclosed a major fraud two months ago,disclosed,Disclosure of a major fraud two months ago was done by the disk-drive maker
She said that impact ca n't be reasonably assessed yet,said,N/A
Outside investors scarce since '86 are edging back,edging,The edging back of outside investors since 1986 has been scarce
Logic plays a minimal role here,plays,The playing of logic takes a minimal role here
She said that impact ca n't be reasonably assessed yet,assessed,She said that the assessment of the impact can't be done yet
Harsco declined to say what country placed the order,say,Saying what country placed the order was declined by Harsco
Shares of three brokerage firms rose after they reported earnings,rose,The rising of shares from three brokerage firms happened after they reported earnings
The venture cost Quebecor 12 million Mr. Peladeau says,cost,The cost of the venture for Quebecor was 12 million Mr. Peladeau says
The consequences of building empires with sand are showing up,building,The building of empires with sands have consequences which are showing up
Shares of three brokerage firms rose after they reported earnings,reported,After their reporting of earnings shares of three brokerage firms rose
The venture cost Quebecor 12 million Mr. Peladeau says,says,The saying that the venture will cost Quebecor 12 million came from Mr Peladeau
Harsco declined to say what country placed the order,placed,The placing of the order by Harsco declined to mention what country it was in
I see it as a sewage treatment plant he says,see,Seeing it as a sewage treatment plant is what he says he does
Even so few had ever dealt with an earthquake,dealt,The dealing of an earthquake had been experienced by so few
The consequences of building empires with sand are showing up,showing,The showing up of the consequences is due to building empires with sand
I consider this a second career he said,consider,The considering this a second career was said by him
Most other states have enacted similar bans,enacted,Enacting similar bans was done by most other states
I see it as a sewage treatment plant he says,says,N/A
The numbers were adjusted for usual seasonal fluctuations,adjusted,The adjusting of numbers was done for usual seasonal fluctuations
I consider this a second career he said,said,N/A
He is negotiating a rich book contract to boot,negotiating,The negotiating of a rich book contract is being done by him
And much home-equity credit is used conservatively,used,The using of a lot of home equity is done conservatively
I do n't think we do now he says,do,N/A
I do n't think we do now he says,think,The thinking that we do not now was said by him
Who is going to carry the water,going,N/A
People wonder what 's going to happen next,wonder,The wondering of what is going to happen next occurs by people
The woman won the bet,won,The winning of the bet was done by the woman
I do n't think we do now he says,says,N/A
People wonder what 's going to happen next,going,N/A
They stopped short of resuming diplomatic ties severed in 1979,stopped,The stopping short of resuming diplomatic ties was severed in 1979
Its plan is set up as an independent agency,set,The setting up of the plan is done as an independent agency
Who is going to carry the water,carry,Carrying the water is going to be done by whom
People wonder what 's going to happen next,happen,N/A
Should the rest of the Series be played at all,played,The playing of the rest of the series is in question
They stopped short of resuming diplomatic ties severed in 1979,resuming,The resuming of diplomatic tied severed in 1979 was stopped short by them
The June killings magnified the problems,magnified,The magnifying of the problems occurred because of the June killings
And IBM said it expects the costs to continue climbing,said,And saying it expects the costs to continue climbing was IBM
They stopped short of resuming diplomatic ties severed in 1979,severed,The severing of diplomatic ties in 1979 had been stopped short of resuming
Warnaco also owns Warners another major intimate apparel maker,owns,Also owning Warners another major intimate apparel maker is Warnaco
And IBM said it expects the costs to continue climbing,expects,And the expectation of costs to continue climbing was said by IBM
But he warned the currency will remain at risk,warned,The warning by him was that the currency will remain at risk
Municipals ended mixed while mortgage-backed and investment-grade corporate bonds rose,ended,Ending mixed were municipals while mortgage backed and investment grade corporate bonds rose
His success is easy to understand,understand,The understanding of his success is easy
Municipals ended mixed while mortgage-backed and investment-grade corporate bonds rose,rose,The rise of mortgage backed and investment grade corporate bonds happened while municipals ended mixed
And IBM said it expects the costs to continue climbing,continue,The continuing of climbing costs are expected by IBM
And IBM said it expects the costs to continue climbing,climbing,Climbing is what IBM said it expects the costs to continue doing
But it has n't worked out that way,worked,N/A
Hotel-casino operators play down the possibility of a labor shortage,play,The playing down of the possibility of a labor shortage comes from hotel casino operators
"Toyota Motor fell 40 to 2,680",fell,The falling of Toyota Motor was 40 to 2680
Estimated and actual results involving losses are omitted,involving,N/A
If this were 1949 Mr. Boren might even succeed,succeed,There might even be success for Mr. Boren if this were 1949
Estimated and actual results involving losses are omitted,omitted,Omitted are estimated and actual results involving losses
We have no further developments to report he said,report,Reporting that we have no further developments is what he said
But it does n't always work so smoothly,does,N/A
We have no further developments to report he said,said,The saying of there being no further developments for them came from him
The yield rose to 5.38 %,rose,The rising of 5.38 percent was to the yield
Prosecutors in Miami received yet another setback,received,N/A
But it does n't always work so smoothly,work,The working does not always happen so smoothly
The heart of the case official oppression remains intact,remains,N/A
But these wide swings scare them to death,scare,The scaring of them to death was because of the wide swings
The state of New Hampshire has favored that plan,favored,Favoring that plan was the state of New Hampshire
We do n't need cartoons anymore,do,N/A
Bloomingdale 's does an estimated 1.2 billion in annual sales,does,N/A
We do n't need cartoons anymore,need,A need for cartoons isn't something we have anymore
It 's worse than I thought she said,thought,The thinking that it is worse comes from her
Bloomingdale 's does an estimated 1.2 billion in annual sales,estimated,The estimating of 1.2 billion in annual sales is for Bloomingdales
"When it comes to money Once bitten 2,000 times shy",comes,N/A
Joann S. Lublin in London contributed to this article,contributed,The contributing of this article comes from Joann S Lublin
It 's worse than I thought she said,said,Saying it is worse than I thought is what she did
How do readers feel about the magazine,do,N/A
"When it comes to money Once bitten 2,000 times shy",bitten,The biting of 2000 times shy comes from money
The advance felt more like a technical bounce he said,felt,The feeling of the advance was more like a technical bounce he said
How do readers feel about the magazine,feel,The feeling of the magazine by readers has been questioned
Foreign traders say the company is strapped for cash,say,Saying the company is strapped for cash are foreign traders
Then he jumped into the market,jumped,The jumping into the market was by him
The future of the forest remains uncertain,remains,The remaining forest has an uncertain future
The advance felt more like a technical bounce he said,said,Saying that the advance felt more like a technical bounce was he
Sounds great or does it,Sounds,The sounds were great
The shuttle is slated to return Monday to California,slated,Slated to return Monday to California is the shuttle
All you get is risk,get,The getting is nothing but risk
Sounds great or does it,does,N/A
Second-tier companies are receiving even less per ton,receiving,The receiving by second tier companies are even less per ton
The shuttle is slated to return Monday to California,return,The return of the shuttle is slated on Monday in California
Rounding-off keeps them at 1,keeps,The keeping them at 1 is by rounding off
You 'll see fewer gimmicks,see,The sight of fewer gimmicks is what you'll have
Revenue jumped 22 % to 7.89 billion from 6.46 billion,jumped,The jump in revenue was 22% from 6.46 billion to 7.89 billion
Both issues are dated Oct. 31,dated,Dating Oct. 31 are both issues
About 518 million of debt is affected,affected,The affect is to about 518 million of debt
Mr. Tait say he does n't blame Lilly,say,The saying that he does not blame Lilly comes from Mr Tait
The dollar finished mixed while gold declined,finished,The finishing of the dollar was mixed while gold declined
Sales rose 2.9 % to 329.2 million from 320 million,rose,Rising 2.9 % to 329.2 million from 320 million were sales
Mr. Tait say he does n't blame Lilly,does,N/A
The Journal also will offer expanded volume and frequency discounts,offer,The offering by the Journal will include expanded volume and frequency discounts
The dollar finished mixed while gold declined,mixed,N/A
Mr. Tait say he does n't blame Lilly,blame,The blaming will not include Lilly says Mr Tait
The Journal also will offer expanded volume and frequency discounts,expanded,The expanding of volume and frequency discounts comes from the Journal
The dollar finished mixed while gold declined,declined,The decline of gold happened while the dollar finished mixed
4 Impose standard accounting and administrative practices,Impose,N/A
These guys prey on human frailties,prey,Preying on human frailties are these guys
Mrs. Marcos 's trial is expected to begin in March,expected,The expectation is for Mrs. Marcos's trial to begin in March
TRUSTEE WHO MONITORED settlement payments to Dalkon Shield claimants quits,MONITORED,The monitoring of the settlement payments to Dalkon Shield claimants was done by a Trustee who quit
Mrs. Marcos 's trial is expected to begin in March,begin,The beginning of Mrs. Marcos 's trial is expected to be in March
They want a 24-hour library,want,Wanting a 24 hour library are they
TRUSTEE WHO MONITORED settlement payments to Dalkon Shield claimants quits,quits,Quitting is the trustee who monitored settlement payments to Dalkon Shield claimants
People in Glass houses tend to look stoned,tend,The tending to look stoned happens to people in glass houses
Phillips and Arco posted declines,posted,The posting of the declines was done by Phillips and Arco
People in Glass houses tend to look stoned,look,The looking of people who appear stoned are in glass houses
And he added that manufactured goods exports are still rising,added,The addition he made was that manufactured goods exports are still rising
But the issue is stickier than it seems,seems,The seeming is that the issue is stickier
And he added that manufactured goods exports are still rising,manufactured,N/A
People in Glass houses tend to look stoned,stoned,The stoning look of people tend to happen to those who live in glass houses
Apparently the commission did not really believe in this ideal,did,N/A
And he added that manufactured goods exports are still rising,rising,The rising of the manufactured goods exports was something that he added
The recent sharp stock market decline exacerbated those concerns,exacerbated,The exacerbating concerns were caused by the recent sharp stock market decline
Apparently the commission did not really believe in this ideal,believe,The believing in this ideal was not done by the commission
The transaction also would combine Fresenius USA and Delmed,combine,Combining Fresenius USA and Delmed is what the transaction would also do
A Beatrice spokesman did n't return calls seeking comment,did,N/A
They got a transaction that 's good for both companies,got,In getting a transaction for the companies both got one that is good
Allianz did n't say whom if anyone it will support,did,N/A
Expect brushbacks but no beanballs says Mr. McEnaney,Expect,The expectation is brushbacks but no beanballs says Mr. McEnaney
A Beatrice spokesman did n't return calls seeking comment,return,The return of calls seeking comments was not made by a Beatrice spokesman
Allianz did n't say whom if anyone it will support,say,N/A
Expect brushbacks but no beanballs says Mr. McEnaney,says,Saying to expect brushbacks but no beanballs is Mr McEnaney
Allianz did n't say whom if anyone it will support,support,N/A
A private farmer never wastes anything,wastes,The wasting of anything is never done by a private farmer
A Beatrice spokesman did n't return calls seeking comment,seeking,N/A
This leads to a very special sense of urgency,leads,The leading of a sense of urgency was very special
The 30-share index settled 42.0 points lower at 1678.5,settled,The settling of the 30 share index was 42.0 points lower at 1678.5
He added We learned a lesson in 1987 about volatility,added,Adding that we learned a lesson in 1987 about volatility is what he did
Prices of high-yield high-risk corporate securities ended unchanged,ended,The end left high-yield high-risk corporate securities prices unchanged
Minicar output more than tripled,tripled,More than tripling was minicar output
He added We learned a lesson in 1987 about volatility,learned,Learning a lesson in 1987 about volatility was what we did he added
Peter Gumbel in Moscow contributed to this article,contributed,The contributing to this article was by Peter Gumbel in Moscow
Those concerns are n't expressed in public,expressed,Public expression of those concerns is not done.
Mission Resource Partners lost 5 1\/4 to 14 1\/8,lost,The loss of 5 1\/4 to 14 1\/8 was suffered by Mission Resource Partners
The Paris bank does n't publish that figure,does,N/A
Revenue rose 15 % to 534.3 million from 464.7 million,rose,Rising 15 % to 534.3 million from 464.7 million was revenue
In five minutes the Dow industrials climbed almost 30 points,climbed,The climbing of the Dow industrials almost 30 points happened in 5 minutes
He has mastered the art of survival,mastered,The mastering of the art of survival is something he has done
The Paris bank does n't publish that figure,publish,Publication of that figure is something the Paris bank does not do
Cable & Wireless PLC of Britain won the other license,won,Winning the other license was Cable & Wireless PLC of Britain
The entire division employs about 850 workers,employs,The employing of about 850 workers is done by the entire division
The stock fell 75 cents,fell,The falling of the stock was by 75 cents
The moisturizer introduced in 1962 had a dowdy image,introduced,The introducing of the moisturizer had a dowdy image in 1962
We were reassured they would stand behind the company,reassured,Reassurance that they would stand behind the company is what we were given
But no one else does,does,N/A
We were reassured they would stand behind the company,stand,A stand behind the company is something we were reassured they would do
The work force provides the third arm of the alliance,provides,Providing the third arm of the alliance is the work force
NBC 's winning streak has been canceled,winning,The winning of the streak by NBC has been canceled
Affiliated Publications Inc. reversed a year-earlier third quarter net loss,reversed,The reversing of a year earlier third quarter net loss came from Affiliated Publications Inc
NBC 's winning streak has been canceled,canceled,The cancellation was of NBC 's winning streak
And some fund groups said investors actually became net buyers,said,The saying that some fund groups actually became net buyers came from investors
The transaction is expected to close around year end,expected,Expecting to close around year end is the transaction
And some fund groups said investors actually became net buyers,became,And becoming net buyers is what some fund groups said investors were actually doing
Why did East Bloc participants unanimously endorse market-based pollution approaches,did,N/A
Corporate profits may also dip initially,dip,The dipping of corporate profits may also happen initially
The transaction is expected to close around year end,close,Closing around year end is what the transaction is expected to do
Why did East Bloc participants unanimously endorse market-based pollution approaches,endorse,The unanimous endorsing of the market based pollution approaches by the East Bloc participants was questioned
It could do damage to us,do,The doing of damage could happen to us
"The suit seeks in excess of 350,000 in damages",seeks,Seeking in excess of 350000 in damages is the suit
But out on Cobb Parkway Ted Negas sees it differently,sees,Seeing it differently is what Ted Negas is doing out on Cobb Parkway
Revenue rose 23 % to 100 million from 81.6 million,rose,The rising of the revenue went from 23 % to 100 million from 81.6 million
Amerada Hess Corp. and Occidental Petroleum Corp. reported higher earnings,reported,The reporting of higher earnings comes from Amerada Hess Corp and Occidental Petroleum Corp
It does prolong the pain somewhat,does,N/A
Manufacturers have survived the turmoil in China largely unscathed,survived,The surviving of the turmoil in China was done by the manufacturers largely unscathed
Now the personal-computer revolution is finally reaching Japan,reaching,Reaching Japan now finally is the personal-computer revolution
They are starting to buy growth stocks,starting,N/A
It does prolong the pain somewhat,prolong,The prolonging of pain occurs somewhat by it
The notice also grants relief for certain estate-tax returns,grants,The granting also of relief for certain estate-tax returns is done by the notice
They are starting to buy growth stocks,buy,Buying growth stocks is what they are starting to do
They 're really fashion items wrapped up in little jars,wrapped,The wrapping up of fashion items in little jars is what they really are
EAST GERMANS RALLIED in three cities to demand democratic freedoms,RALLIED,The rally of the East Germans was in three cities to demand democratic freedoms
Or land in Russia so often,land,The landing happens in Russia so often
I care very much for this post he says,care,The caring of this post is something he does very much he says
I care very much for this post he says,says,N/A
EAST GERMANS RALLIED in three cities to demand democratic freedoms,demand,The demanding of democratic freedoms was rallied by East Germans in three cities
The CBS official said that price sounded fine,said,Saying that price sounded fine was The CBS official
Andy Zipser in Dallas contributed to this article,contributed,Contributing to this article was Andy Zipser in Dallas
But not everybody was making money,making,The making of money was not done by everybody
The CBS official said that price sounded fine,sounded,Sounding fine is what the CBS official said of that price
But Burger King operators independently confirm using Michael 's product,confirm,The confirmation about using Michael's product however is made independently by Burger King operators
Was 300 ft. out on a pier in San Rafael,Was,N/A
Needless to say he was talking about RICO,say,The saying that he was talking about RICO is needless
Its many lively stories include the Gutfreund-Postel holiday cheer imbroglio,include,Including the Gutfreund Postel holiday cheer imbroglio are its many lovely stories
But Burger King operators independently confirm using Michael 's product,using,The using of Michael's product is independently confirmed by Burger King operators
Needless to say he was talking about RICO,talking,Talking about RICO is what he was doing needless to say
No Mr. Lantos 's complaints simply wo n't wash,wash,The washing of Mr Lantos complaints will not happen
The issue includes 100 million of insured senior lien bonds,includes,N/A
Here they are searching for a higher price,searching,The searching for a higher price is something they are currently doing
Mr. Drabinsky could n't be reached for comment,reached,The reaching for comment by Mr Drabinsky didn't occur
Revenue dropped 5.4 % to 3.48 billion from 3.68 billion,dropped,The drop in revenue was 5.4% from 3.68 billion to 3.48 billion
Expansion plans also include acquisitions in growing foreign markets,include,The including of acquisitions in growing foreign markets was also part of expansion plans
We wo n't comment on them,comment,The commenting on them won't come from us
We 're not rushing into anything,rushing,The rushing into anything was not done by us
To ask those questions is to answer them,ask,The asking of those questions is to answer them
Expansion plans also include acquisitions in growing foreign markets,growing,Growing foreign market acquisitions are included in expansion plans.
A panic on Wall Street does n't exactly inspire confidence,does,N/A
To ask those questions is to answer them,answer,The answering of those questions happens after they are asked
Poachers would control the underground trade,control,Controlling the underground trade is what poachers would do
Asilone an antacid was sold to Boots PLC London,sold,The selling of the antacid Asilone was to Boots PLC London
Sales rose 14 % to 715 million from 625.4 million,rose,The rise of 14% from 625.4 million to 715 million was in sales
Broader averages also posted modest gains,posted,The posting of modest gains is from broader averages
A panic on Wall Street does n't exactly inspire confidence,inspire,The inspiring of confidence is not exactly what a panic on Wall Street does
Everyone around me lives well,lives,The living of everyone around me is done well
